CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12,100.0,38.18565400843882,33.438818565400844,38.71308016877637,35.970464135021096,39.66244725738397,37.9746835443038,35.44303797468354,35.44303797468354,39.45147679324894,37.34177215189873,50.0,27.42616033755274
2011-01,100.0,23.990498812351543,28.26603325415677,24.228028503562946,32.779097387173394,29.928741092636578,26.128266033254157,25.653206650831358,31.116389548693586,34.679334916864605,36.81710213776722,14.964370546318289,
2011-02,100.0,24.736842105263158,19.210526315789473,27.89473684210526,26.842105263157894,24.736842105263158,25.526315789473685,28.157894736842103,25.789473684210527,31.31578947368421,9.210526315789473,,
2011-03,100.0,19.090909090909093,25.454545454545453,21.818181818181817,23.18181818181818,17.727272727272727,26.36363636363636,23.863636363636363,28.863636363636363,8.863636363636363,,,
2011-04,100.0,22.74247491638796,22.073578595317723,21.070234113712374,20.735785953177256,23.745819397993312,23.076923076923077,26.08695652173913,8.361204013377927,,,,
2011-05,100.0,23.655913978494624,17.20430107526882,17.20430107526882,21.50537634408602,24.372759856630825,26.523297491039425,10.39426523297491,,,,,
2011-06,100.0,20.851063829787233,18.72340425531915,27.23404255319149,24.680851063829788,33.61702127659574,10.212765957446807,,,,,,
2011-07,100.0,20.94240837696335,20.418848167539267,23.036649214659686,27.225130890052355,11.518324607329843,,,,,,,
2011-08,100.0,25.149700598802394,25.149700598802394,25.149700598802394,13.77245508982036,,,,,,,,
2011-09,100.0,29.86577181208054,32.5503355704698,12.080536912751679,,,,,,,,,
2011-10,100.0,26.420454545454547,13.068181818181818,,,,,,,,,,
2011-11,100.0,13.395638629283487,,,,,,,,,,,
2011-12,100.0,,,,,,,,,,,,
